# Time of B-band maximum light as fit for in MLCS2k2 (RV=1.7).  Objects
# with A_V > 2.0, mlcs-reduced-chi^2 > 1.6 and phase of first
# observation ("t_1st_obs") > 20d have been removed.  Also, only 
# nearby objects are listed (z<=0.15).
#
# SN   t_max(MJD)   +/-	  t_1st
sn02cd 52383.1600 0.2500 -7.6210
sn02ck 52396.6500 1.4500 5.5290
sn02cr 52408.3800 0.1800 -9.0630
sn02cx 52415.1200 0.7800 -3.2640
sn02de 52433.4400 0.3900 -5.0990
sn02dj 52450.5600 0.1700 -10.2920
sn02do 52442.4200 1.1800 3.0010
sn02dp 52450.3900 0.3800 -3.8770
sn02er 52524.9700 0.1500 -7.5810
sn02eu 52516.6900 1.6400 13.1540
sn02fb 52527.0500 0.7600 4.2290
sn02fk 52547.8400 0.4500 -2.4110
sn02g 52300.1800 0.8700 -4.5520
sn02ha 52580.1900 0.4200 -2.9720
sn02hd 52574.7800 1.3800 4.5300
sn02he 52585.7500 0.3300 -6.1600
sn02hu 52591.9400 0.3900 -4.5160
sn02hw 52595.2600 0.2400 -4.9350
sn02jy 52633.9600 0.9500 1.1780
sn02kf 52638.2200 0.7500 3.0640
sn03D 52640.5600 1.4700 8.6390
sn03K 52653.8400 0.6600 13.4020
sn03U 52677.2500 0.2500 -6.5410
sn03W 52679.7200 0.1900 -8.2410
sn03ae 52665.2700 0.6800 13.6260
sn03ai 52690.5000 1.6800 14.4680
sn03ch 52724.7100 0.9500 1.3880
sn03cq 52738.6600 0.5900 -5.0060
sn03du 52765.4200 0.1700 -8.0440
sn03fa 52806.0200 0.2000 -8.3260
sn03hu 52898.8500 2.2500 8.6480
sn03ic 52905.7500 1.5500 3.3690
sn03it 52934.4500 0.5700 -2.1850
sn03iv 52933.7300 0.7700 -0.3710
sn03kf 52980.6500 0.3900 -3.3760
sn04as 53084.9800 0.4900 -4.5140
sn04bg 53109.9200 1.0300 2.2700
sn04fu 53325.6700 0.4800 -4.5290
sn04l 53029.0100 1.4800 3.3030
sn05am 53434.8400 0.7200 2.3900
sn05cf 53533.6800 0.1400 -12.3660
sn05dv 53625.2900 0.5200 -1.1700
sn05el 53646.2700 0.2500 -5.7430
sn05eq 53654.0200 0.3500 -5.4960
sn05eu 53659.7400 0.2400 -9.1130
sn05ew 53636.2500 0.7300 14.1550
sn05hc 53667.7100 0.4500 -3.1660
sn05hf 53661.7600 0.9700 8.1280
sn05hj 53674.7800 1.1500 1.3370
sn05iq 53687.4500 0.3400 -5.1000
sn05ir 53684.8300 0.8500 -2.4190
sn05kc 53697.3100 0.2100 -8.0840
sn05ke 53699.0100 0.1300 -9.6630
sn05ki 53705.5600 0.1500 -11.8380
sn05ls 53714.1600 0.7400 0.0870
sn05lu 53714.0700 0.8800 12.6790
sn05lz 53736.0900 0.3100 -5.5330
sn05mc 53733.6100 0.2800 -2.2660
sn05ms 53743.4500 0.2500 -6.8360
sn05mz 53745.6900 0.1800 -8.2190
sn05na 53740.6300 0.6900 4.5300
sn06ac 53781.0500 0.3600 -3.5130
sn06ah 53772.5700 0.9600 13.2680
sn06ak 53779.7200 0.9000 8.3350
